QueryNumber:Materialized Views:QueryProcessingCosts:QueryProcessingTime in ms:Maintenance Costs:Storage Costs:TimeSpan:Algorithm
1:No:193551,11:1539:0:0:0:No
10:No:342638,85:5379:0:0:0:No
3:No:70176,61:614:0:0:0:No
12:No:288064,16:2277:0:0:0:No
1:All Queries:19116,16:114:894430,73:605560832:0:All Queries Materialized
10:All Queries:51466,24:741:894430,73:605560832:0:All Queries Materialized
3:All Queries:19708,16:125:894430,73:605560832:0:All Queries Materialized
12:All Queries:19209,6:124:894430,73:605560832:0:All Queries Materialized
1:lineitem2view, orders2view, customer2view:20588,13:272:719229,33:211812352:0,0090953:Deterministic MVPP
10:lineitem2view, orders2view, customer2view:290487492,45:2949:719229,33:211812352:0,0090953:Deterministic MVPP
3:lineitem2view, orders2view, customer2view:5955168,64:874:719229,33:211812352:0,0090953:Deterministic MVPP
12:lineitem2view, orders2view, customer2view:1176802,61:1492:719229,33:211812352:0,0090953:Deterministic MVPP
1:orders2view, nation2view, lineitem2view, lineitem_ordersview, lineitem_ordersresult12view:20588,13:261:192344058,31:405282816:48,7689657:Hybrid MVPP
10:orders2view, nation2view, lineitem2view, lineitem_ordersview, lineitem_ordersresult12view:5615717,25:2613:192344058,31:405282816:48,7689657:Hybrid MVPP
3:orders2view, nation2view, lineitem2view, lineitem_ordersview, lineitem_ordersresult12view:50724,07:492:192344058,31:405282816:48,7689657:Hybrid MVPP
12:orders2view, nation2view, lineitem2view, lineitem_ordersview, lineitem_ordersresult12view:19210,6:127:192344058,31:405282816:48,7689657:Hybrid MVPP
